182,3,6,W,72,-5.9,
183,3,6,N,22,23,
184,3,7,E,33,-11.6,
185,3,7,S,7,43.8,
186,3,7,W,25,-41.1,
187,3,7,N,38,8.9,
188,3,8,E,71,22.3,
189,3,8,S,1,7.4,
190,3,8,W,29,-22.4,
191,3,8,N,67,-7.3,
192,3,9,E,53,-16.1,
193,3,9,S,48,40.4,
194,3,9,W,35,-38.6,
195,3,9,N,46,14.3,
196,3,10,E,76,28.9,
197,3,10,S,2,7.2,
198,3,10,W,32,-12,
199,3,10,N,52,-24.1,
200,3,11,E,13,-30,
201,3,11,S,18,42.6,
202,3,11,W,5,-17,
203,3,11,N,27,-34.4,
204,3,12,E,24,-32.6,
205,3,12,S,23,16.4,
206,3,12,W,30,-12.9,
207,3,12,N,26,29.1,
208,3,13,E,75,-20.7,
209,3,13,S,41,7.3,-20
210,3,13,W,54,17.7,-20
211,3,13,N,14,-4.3,
212,3,14,E,61,4.6,
213,3,14,S,34,31.2,
214,3,14,W,74,-25.1,
215,3,14,N,55,-10.7,
216,3,15,E,39,8.4,
217,3,15,S,64,37.5,
218,3,15,W,63,-29.7,
219,3,15,N,28,-16.2,
220,3,16,E,58,45.8,
221,3,16,S,40,-32.9,
222,3,16,W,11,2.8,
223,3,16,N,70,-15.7,
224,3,17,E,17,27.7,
225,3,17,S,79,-7.5,
226,3,17,W,62,-31.8,
227,3,17,N,65,11.6,
228,3,18,E,47,24,
229,3,18,S,21,-27,
230,3,18,W,9,11.4,
231,3,18,N,51,-8.4,
232,3,19,E,68,32.8,-20
233,3,19,S,66,-8.1,
234,3,19,W,73,2.2,
235,3,19,N,15,-26.9,
236,3,20,E,6,-10.9,
237,3,20,S,10,-60.2,
238,3,20,W,3,20.7,
239,3,20,N,4,50.4,
240,4,1,E,49,33.3,
241,4,1,S,11,-31.4,
242,4,1,W,53,11.6,
243,4,1,N,23,-13.5,
244,4,2,E,70,22.3,
245,4,2,S,75,-9.7,
246,4,2,W,68,9.4,
247,4,2,N,17,-22,
248,4,3,E,44,7.8,
249,4,3,S,61,-12.5,
250,4,3,W,47,27.5,
251,4,3,N,39,-22.8,
252,4,4,E,76,-23.6,
253,4,4,S,63,25.2,
254,4,4,W,57,-7.2,
255,4,4,N,36,5.6,
256,4,5,E,65,4.5,
257,4,5,S,66,-13.6,
258,4,5,W,30,33,
259,4,5,N,1,-23.9,
260,4,6,E,20,24.9,
261,4,6,S,15,10.1,
262,4,6,W,29,-23.9,
263,4,6,N,7,-11.1,
264,4,7,E,74,8.2,
265,4,7,S,14,-14.1,
266,4,7,W,24,-25,
267,4,7,N,58,30.9,
268,4,8,E,35,26.5,
269,4,8,S,9,-34.8,
270,4,8,W,27,14,
271,4,8,N,80,-5.7,
272,4,9,E,41,59.4,
273,4,9,S,64,12.2,
274,4,9,W,67,-24.2,
275,4,9,N,19,-47.4,
276,4,10,E,79,19.9,
277,4,10,S,38,-20.5,
278,4,10,W,71,39.2,
279,4,10,N,22,-38.6,
280,4,11,E,34,28.8,
281,4,11,S,78,-9.9,
282,4,11,W,4,-23,
283,4,11,N,54,4.1,
284,4,12,E,62,18.7,
285,4,12,S,52,-7.9,
286,4,12,W,33,33.8,
287,4,12,N,40,-44.6,
288,4,13,E,69,-30,
289,4,13,S,73,-5.1,
290,4,13,W,31,-25.6,
291,4,13,N,3,10,
292,4,14,E,51,22,
293,4,14,S,59,-52.4,
294,4,14,W,2,-10.2,
295,4,14,N,18,40.6,
296,4,15,E,55,-10.6,
297,4,15,S,48,4.5,
298,4,15,W,50,33.7,
299,4,15,N,37,-27.6,
300,4,16,E,12,2.8,
